Key Id,Tournament Id,tournament Name,Match Id,Match Name,Stage Name,Group Name,Group Stage,Knockout Stage,Replayed,Replay,Match Date,Match Time,Stadium Id,Stadium Name,City Name,Country Name,Home Team Id,Home Team Name,Home Team Code,Away Team Id,Away Team Name,Away Team Code,Score,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Extra Time,Penalty Shootout,Score Penalties,Home Team Score Penalties,Away Team Score Penalties,Result,Home Team Win,Away Team Win,Draw
538,WC-1998,1998 FIFA WORLD CUP,M-1998-22,France v Saudi Arabia,group stage,Group C,NO,0,0,0,18.06.1998,21:00,S-048,Stade de France,Saint-Denis,  France,T-28,France,FRA,T-61,Saudi Arabia,SAU,40,4,0,4,-4,0,0,n/a,0,0,Home Win,1,0,0
694,WC-2006,2006 FIFA World Cup,M-2006-50,Argentina v Mexico,ROUND OF 16,not applicable,true,NO,0,0,6/24/2006,21:00,S-063,  Zentralstadion  ,Leipzig,Germany,T-03,argentina,ARG,T-44,Mexico,MEX,21,2,1,1,-1,1,0,0-0,0,0,home team win,NO,0,0
39,WC-1938,1938 FIFA World Cup,M-1938-04,Hungary v Dutch East Indies,round of 16,not applicable,0,1,0,0,1938/06/05,17:00,S-047,Vélodrome Municipal,Reims  ,FRANCE,T-34,HUNGARY,HUN,T-22,Dutch East Indies,IDN,60,6,0,6,-6,0,0,0-0,0,0,home team win,1,False,0
176,WC-1966,1966 FIFA World Cup,M-1966-08,Italy v Chile,group stage,Group 4,1,0,0,0,7/13/1966,,S-035,Roker Park,  ,England,T-39,  Italy  ,ITA,T-13,Chile,CHL,2x0,2,0,2,-2,0,0,0-0,0,0,Home Win,1,0,0
246,WC-1974,1974 FIFA World Cup,M-1974-14,Netherlands v Sweden,group stage,Group 3,1,No,0,0,6/19/1974,19:30,S-055,Westfalenstadion,Dortmund,Germany,T-46,Netherlands,NLD,T-72,Sweden,SWE,"(0,0)",0,0,0,0,0,0,0-0,0,0,draw,0,0,1
894,WC-2018,2018 FIFA World Cup,M-2018-58,Brazil v Belgium,QF,not applicable,0,1,0,0,7/6/2018,21:00,S-116,Kazan Arena,  kazan,  Russia  ,T-09,Brazil,BRA,T-06,Belgium,BEL,12,1,2,-1,1,0,0,0-0,0,0,away team win,0,1,0
722,WC-2010,2010 Fifa World Cup,M-2010-14,Brazil v North Korea,group stage,Group G,1,0,0,0,15/06/2010,20:30,S-130,Ellis Park Stadium,Johannesburg,SOUTH AFRICA,T-09,Brazil,BRA,T-49,North Korea,PRK,21,2,1,1,-1,0,0,N/A,0,0,Home Win,1,0,0
945,WC-2022,2022 FIFA World Cup,M-2022-45,Ghana v Uruguay,group stage,Group H,1,0,0,0,02-12-2022,n/a,S-111,Al Janoub Stadium,Al Wakrah,Qatar,T-30,Ghana,GHA,T-81,Uruguay,URY,02,-1,2,-2,2,0,0,0-0,0,0,away team win,0,1,YES
926,WC-2022,2022 FIFA World Cup,M-2022-26,Belgium v Morocco,group stage,Group F,1,0,0,0,11/27/2022,16:00,S-112,Al Thumama Stadium,  Doha  ,Qatar,T-06,Belgium,BEL,T-45,Morocco,MAR,02,0,2,-2,2,0,0,0-0,0,0,away team win,0,1,0
155,WC-1962,1962 FIFA World Cup,M-1962-19,Brazil v Spain,group stage,Group 3,1,0,0,0,6/6/1962,,S-027,Estadio Sausalito,Viña del Mar,Chile,T-09,Brazil,BRA,T-71,Spain,ESP,21,2,N/A,1,-1,0,0,0-0,0,0,home win,1,0,0
639,WC-2002,2002 FIFA World Cup,M-2002-59,Spain v South Korea  ,quarter-finals,not applicable,0,1,0,0,6/22/2002,15:30,S-140,Gwangju World Cup Stadium,Gwangju,South Korea,T-71,Spain,ESP,T-69,South Korea,KOR,00,0,0,0,0,1,1,35,3,5,away team win,0,1,0
288,WC-1978,1978 FIFA WORLD CUP,M-1978-18,Poland v Mexico,group stage,Group 2,1,0,0,0,6/10/1978,16:45,S-006,  Estadio Gigante De Arroyito,rosario,argentina,T-55,  Poland  ,POL,T-44,Mexico,MEX,3-1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0
626,WC-2002,2002 FIFA World Cup,M-2002-46,Tunisia v Japan,group stage,Group H,1,0,0,0,6/14/2002,15:30,S-090,Nagai Stadium,Osaka,Japan,T-76,Tunisia,TUN,T-42,Japan,JPN,999 - 2,999,2,-2,2,0,0,0-0,0,0,AWAY TEAM WIN,0,1,Yes
742,WC-2010,2010 FIFA World Cup,M-2010-34,Mexico v Uruguay,group stage,Group A,1,0,0,0,6/22/2010,16:00,S-136,Royal Bafokeng Stadium,Rustenburg  ,South Africa,T-44,Mexico,Mex,T-81,Uruguay,URY,01,0,1,-6,-5,Yes,0,0-0,0,0,away team win,0,1,0
570,WC-1998,1998 FIFA World Cup,M-1998-54,Netherlands v Yugoslavia,round of 16,NULL,0,1,0,0,19980629,21:00,S-051,STADE DE TOULOUSE,Toulouse,France,T-46,Netherlands,NLD,T-84,Yugoslavia,YUG,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0
802,WC-2014,2014 FIFA World Cup,M-2014-30,Belgium v Russia,group stage,n/a,1,0,0,0,6/22/2014,13:00,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,T-06,Belgium,BEL,T-60,Russia,RUS,"(1,0)",1,0,1,-1,0.0,0,0-0,0,0,home team win,1,0,0
18,WC-1930,1930 FIFA World Cup,M-1930-18,Uruguay v Argentina,final,not applicable,0,1,0,0,7/30/1930,14:15,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-03,Argentina,ARG,4-2,4,2,2,-2,0,0,0-0,0,0,Home Team Win,1,0,False
128,WC-1958,1958 FIFA World Cup,M-1958-27,Soviet Union v England,group stage,Group 4,1,0,0,0,06-17-1958,,S-166,Ullevi,Gothenburg,Sweden,T-70,Soviet Union,SUN,T-27,England,ENG,1 : 0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0
323,WC-1982,1982 FIFA World Cup,M-1982-15,Brazil v Scotland,group stage,Group 6,1,0,0,0,6/18/1982,21:00,S-158,Estadio Benito Villamarín,seville,Spain,T-09,Brazil,BRA,T-62,Scotland,SCO,41,4,1,3,-3,0,0,0-0,0,0,home team win,YES,YES,0
256,WC-1974,1974 Fifa World Cup,M-1974-24,Poland v Italy,group stage,Group 4,1,0,0,0,6/23/1974,16:00,S-067,neckarstadion,Stuttgart,Germany,T-55,Poland,POL,T-39,ITALY,ITA,"(2,1)",2,1,1,-1,0,0,0-0,0,0,home team win,1,No,0
791,WC-2014,2014 FIFA World Cup,M-2014-19,Spain v Chile,group stage,Group B,1,0,0,0,6/18/2014,16:00,S-020,Estádio do Maracanã,Rio de Janeiro  ,Brazil,T-71,Spain,ESP,T-13,Chile,CHL,02,0,2,-2,2,0,0,0-0,0,0,away team win,0,1,0
9999,N/A,UNKNOWN TOURNAMENT,INVALID,,,,abc,N/A,,,9999-99-99,,,,,N/A,,N/A,,,,??,,N/A,abc,,,,,,,,N/A,,,
191,WC-1966,1966 FIFA World Cup,M-1966-23,Hungary v Bulgaria,GROUP STAGE,Group 3,1,0,0,0,7/20/1966,19:30,S-032,Old Trafford,Manchester,England,T-34,HUNGARY,HUN,T-10,Bulgaria,BGR,"(3,N/A)",3,N/A,2,-2,0,0,0-0,0,0,home team win,0,False,0
116,WC-1958,1958 FIFA World Cup,M-1958-15,Soviet Union v Austria,group stage,Group 4,1,0,0,0,6/11/1958,19:00,S-164,NAN,Borås,Sweden,T-70,Soviet Union,SUN  ,T-05,Austria,AUT,2:0,2,0,2,-2,0,0,0-0,0,0,Home Team Win,1,0,0
666,WC-2006,2006 FIFA World Cup,M-2006-22,Netherlands v Ivory Coast,group stage,Group C,1,0,0,0,6/16/2006,18:00,S-067,Neckarstadion,Stuttgart,Germany,T-46,Netherlands,NLD,T-40,Ivory Coast,civ,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0
607,WC-2002,2002 FIFA World Cup,M-2002-27,Mexico v Ecuador,group stage,Group G,1,1,0,0,09-06-2002,15:30,S-087,MIYAGI STADIUM,MIYAGI,JAPAN  ,T-44,Mexico,MEX,T-24,Ecuador,ECU,"(2,1)",2,1,1,-1,No,0,0-0,0,0,home team win,1,0,0
181,WC-1966,1966 FIFA World Cup,M-1966-13,Argentina v West Germany,grp stage,Group 2,1,0,0,0,07-16-1966,NULL,S-028,VILLA PARK,Birmingham,England,T-03,Argentina,ARG,T-83,WEST GERMANY,n/a,00,0,0,0,0,0,0,0-0,0,0,draw,False,0,1
